,exp_stage,history,rating,rt,stim_file,stim_index,subjid,stim_acc,stim_freq,reg_rating,stim_repetition,labeled_value,community,structure_coefficient
0,value_rating,"[(None, 0.0), (4.4, 11.347), (4.5, 11.7), (4.6, 11.718), (4.8, 11.734), (5.0, 11.751), (5.1, 11.767), (5.3, 11.784), (5.2, 12.369), (5.1, 12.452), (5.0, 12.9), (4.9, 13.65), (5.0, 14.466), (4.9, 24.013), (4.8, 24.212), (4.9, 25.162), (5.0, 25.196), (5.1, 25.229), (5.0, 26.197), (5.1, 28.563), (5.2, 29.294), (5.3, 29.546), (5.4, 29.761), (5.5, 30.977), (5.5, 31.977)]",5.5,31.977,images/2.png,4,AB,0.859154929577,88,0.278698644601,0,8.86296143461,0,0.0191191787345
1,value_rating,"[(None, 0.0), (5.0, 20.223), (5.0, 21.926)]",5.0,21.926,images/8.png,2,AB,0.919540229885,108,-0.00225223415916,0,9.90846454017,0,0.0191191787345
2,value_rating,"[(None, 0.0), (5.1, 2.064), (5.0, 2.119), (4.9, 2.186), (4.8, 2.25), (4.7, 2.4), (4.6, 2.583), (4.6, 3.833)]",4.6,3.833,images/9.png,8,AB,0.971830985915,95,-0.2125662659,0,1.08503847794,1,0.0191191787345
3,value_rating,"[(None, 0.0), (5.0, 1.53), (5.0, 2.818)]",5.0,2.818,images/11.png,5,AB,0.918918918919,46,-0.00450605455016,0,4.66775983763,2,0.0191191787345
4,value_rating,"[(None, 0.0), (5.3, 1.415), (5.3, 2.436)]",5.3,2.436,images/3.png,9,AB,0.797297297297,94,-0.145691396087,0,1.11560484841,1,0.0191191787345
5,value_rating,"[(None, 0.0), (5.7, 2.38), (5.7, 3.184)]",5.7,3.184,images/1.png,3,AB,0.964705882353,101,0.861587250499,0,9.72714822428,0,0.0191191787345
6,value_rating,"[(None, 0.0), (4.5, 1.147), (4.5, 1.867)]",4.5,1.867,images/4.png,10,AB,0.954545454545,84,-0.375269944403,0,3.11548605754,1,0.0191191787345
7,value_rating,"[(None, 0.0), (4.5, 2.53), (4.6, 2.951), (4.6, 3.85)]",4.6,3.85,images/4.png,10,AB,0.954545454545,84,-0.275269944403,1,3.11548605754,1,0.0191191787345
8,value_rating,"[(None, 0.0), (4.9, 1.18), (5.2, 3.433), (5.2, 4.934)]",5.2,4.934,images/9.png,8,AB,0.971830985915,95,0.3874337341,1,1.08503847794,1,0.0191191787345
9,value_rating,"[(None, 0.0), (5.4, 2.316), (5.5, 2.619), (5.5, 3.502)]",5.5,3.502,images/3.png,9,AB,0.797297297297,94,0.0543086039128,1,1.11560484841,1,0.0191191787345
